Product_ID,Product_Category,Product_Type,Manufacturer,Manufacturing_Date,Original_Price_INR,Material_Type,Material_Weight_KG,Customer_Region,Usage_Months,Return_Date,Return_Reason,Product_Condition,Collection_Channel,Inspection_Result,Refurbishment_Status,Refurbishment_Cost_INR,Resale_Price_INR,Resale_Channel,Resale_Date,Recycle_Status,Recycled_Weight_KG,Waste_Weight_KG,Carbon_Saved_KG,Lifecycle_Status,Circularity_Rate_Pct,Profit_Margin_INR
EC100015,Home Appliance,Refrigerator,EcoTech,2023-11-24,132647.18,Aluminum,72.92,Pune,5,2024-04-22,Warranty Return,Good,Corporate Buyback,Passed,Refurbished,19513.34,77576.79,Online Marketplace,2024-05-08,Not Recycled,0.0,68.71,71.24,Resold,40.0,47451.68
EC100016,Electronics,Tablet,GreenMotion,2024-11-18,30488.72,Aluminum,1.94,Coimbatore,33,2027-08-05,End of Use,Good,Collection Center,Passed,Not Refurbished,0.0,19954.98,Manufacturer Outlet,2027-10-24,Not Recycled,0.0,1.86,2.46,Resold,25.0,17515.88
EC100017,Home Appliance,Washing Machine,TerraMotive,2025-09-11,71350.49,Aluminum,22.32,Bengaluru,58,2030-06-17,End of Use,Excellent,Collection Center,Passed,Refurbished,5744.7,59833.23,Online Marketplace,2030-06-30,Not Recycled,0.0,17.79,34.7,Resold,40.0,48380.49
EC100018,Industrial Equipment,Control Panel,ReGen Industries,2022-08-12,71817.03,Mixed Materials,58.34,Coimbatore,34,2025-05-28,Defect,Poor,Retailer,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,37.96,17.31,91.2,Recycled,42.53,0.0
EC100019,Home Appliance,Microwave,TerraMotive,2023-07-25,19979.74,Steel,56.03,Chennai,62,2028-08-27,Defect,Good,Manufacturer Take-Back,Passed,Refurbished,922.61,10382.7,Online Marketplace,2028-11-12,Recycled,51.17,3.75,168.15,Resold,95.66,7861.71
EC100020,Home Appliance,Refrigerator,NovaWorks,2024-09-21,148062.81,Copper,24.06,Coimbatore,64,2029-12-24,Defect,Fair,Collection Center,Passed,Not Refurbished,0.0,65207.59,B2B Reseller,2029-12-31,Not Recycled,0.0,18.56,25.3,Resold,25.0,53362.57
EC100021,Industrial Equipment,Sensor Module,NovaWorks,2024-09-23,117491.99,Glass,38.38,Chennai,22,2026-07-15,Defect,Good,Online Platform,Passed,Not Refurbished,0.0,55523.48,Online Marketplace,2026-09-29,Recycled,33.93,3.54,91.42,Resold,79.2,46124.12
EC100022,Industrial Equipment,Sensor Module,GreenMotion,2024-12-23,110451.8,Mixed Materials,40.98,Kolkata,23,2026-11-13,Upgrade,Excellent,Corporate Buyback,Passed,Refurbished,11205.46,76797.04,Online Marketplace,2027-02-04,Recycled,33.11,5.92,162.56,Resold,90.4,56755.44
EC100023,Home Appliance,Vacuum Cleaner,GreenMotion,2022-03-23,141458.55,Lithium,14.96,Delhi,82,2028-12-16,Upgrade,Good,Collection Center,Passed,Refurbished,7584.56,96357.8,Retail Store,2029-02-01,Not Recycled,0.0,14.41,22.29,Resold,40.0,77456.56
EC100024,Automotive,Alternator,ReGen Industries,2025-10-07,183078.88,Steel,42.53,Bengaluru,41,2029-02-18,Trade-In,Good,Online Platform,Passed,Refurbished,12636.52,86646.78,Online Marketplace,2029-02-26,Not Recycled,0.0,41.22,61.65,Resold,40.0,59363.95
EC100025,Home Appliance,Vacuum Cleaner,ReGen Industries,2022-09-29,60769.02,Plastic,33.38,Chennai,47,2026-08-09,Upgrade,Fair,Retailer,Passed,Not Refurbished,0.0,28821.38,Export Market,2026-10-24,Not Recycled,0.0,32.25,48.84,Resold,25.0,23959.86
EC100026,Automotive,EV Battery,GreenMotion,2023-06-26,34996.27,Steel,13.8,Mumbai,17,2024-11-17,Upgrade,Fair,Corporate Buyback,Passed,Refurbished,3946.58,8829.53,Export Market,2024-12-20,Not Recycled,0.0,10.08,7.0,Resold,40.0,2083.25
EC100027,Industrial Equipment,Control Panel,TerraMotive,2022-04-15,37337.37,Mixed Materials,33.38,Mumbai,14,2023-06-09,Customer Return,Fair,Collection Center,Passed,Not Refurbished,0.0,15419.97,Retail Store,2023-07-28,Not Recycled,0.0,25.61,28.57,Resold,25.0,12432.98
EC100028,Industrial Equipment,Sensor Module,NovaWorks,2024-05-25,65317.95,Glass,45.04,Hyderabad,74,2030-06-23,Upgrade,Fair,Manufacturer Take-Back,Failed,Not Refurbished,0.0,30196.87,Manufacturer Outlet,2030-07-19,Not Recycled,0.0,40.41,28.85,Resold,25.0,24971.43
EC100029,Home Appliance,Washing Machine,CircularX,2024-01-17,64641.63,Plastic,26.07,Hyderabad,8,2024-09-13,End of Use,Good,Retailer,Passed,Refurbished,10133.3,35441.35,Retail Store,2024-11-04,Not Recycled,0.0,25.23,44.12,Resold,40.0,20136.72
EC100030,Home Appliance,Refrigerator,TerraMotive,2022-02-20,82856.01,Copper,53.19,Bengaluru,25,2024-03-11,Customer Return,Good,Online Platform,Passed,Refurbished,5255.49,52250.08,Manufacturer Outlet,2024-04-18,Not Recycled,0.0,41.71,78.09,Resold,40.0,40366.11
EC100031,Electronics,Monitor,GreenMotion,2023-02-13,41754.59,Steel,7.53,Pune,61,2028-02-17,End of Use,Poor,Online Platform,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,6.9,0.51,10.67,Recycled,55.82,0.0
EC100032,Electronics,Laptop,NovaWorks,2023-11-04,83934.94,Copper,7.74,Kolkata,38,2026-12-18,Upgrade,Poor,Online Platform,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,6.9,0.66,18.32,Recycled,54.57,0.0
EC100033,Automotive,EV Battery,TerraMotive,2023-06-19,82018.25,Aluminum,14.37,Delhi,25,2025-07-08,Warranty Return,Good,Online Platform,Failed,Not Refurbished,0.0,56103.66,Manufacturer Outlet,2025-09-29,Not Recycled,0.0,13.06,9.28,Resold,25.0,49542.2
EC100034,Electronics,Monitor,TerraMotive,2023-01-25,115321.21,Lithium,7.92,Pune,35,2025-12-10,Upgrade,Excellent,Collection Center,Failed,Not Refurbished,0.0,86913.67,B2B Reseller,2026-02-23,Not Recycled,0.0,7.63,12.24,Resold,25.0,77687.97
EC100035,Industrial Equipment,Motor Controller,NovaWorks,2023-11-08,129422.29,Glass,22.21,Kolkata,82,2030-08-03,End of Use,Good,Manufacturer Take-Back,Passed,Refurbished,17746.82,84451.71,B2B Reseller,2030-09-18,Not Recycled,0.0,21.32,28.14,Resold,40.0,56351.11
EC100036,Home Appliance,Refrigerator,NovaWorks,2025-09-23,82704.7,Copper,72.45,Mumbai,51,2029-12-01,Customer Return,Fair,Retailer,Passed,Refurbished,10274.9,37130.12,Retail Store,2030-02-16,Not Recycled,0.0,70.06,77.04,Resold,40.0,20238.84
EC100037,Industrial Equipment,Sensor Module,TerraMotive,2025-09-02,25976.93,Lithium,35.12,Hyderabad,44,2029-04-14,Trade-In,Excellent,Collection Center,Passed,Refurbished,2490.45,19704.25,Online Marketplace,2029-06-20,Not Recycled,0.0,27.6,19.17,Resold,40.0,15135.65
EC100038,Automotive,Electric Motor,GreenMotion,2025-07-20,25544.33,Glass,62.05,Hyderabad,82,2032-04-14,End of Use,Good,Manufacturer Take-Back,Passed,Refurbished,1411.25,14830.04,Online Marketplace,2032-05-30,Not Recycled,0.0,57.77,89.0,Resold,40.0,11375.24
EC100039,Electronics,Laptop,GreenMotion,2025-06-05,26338.37,Copper,0.56,Hyderabad,12,2026-05-31,Trade-In,Good,Collection Center,Passed,Refurbished,2762.27,16049.48,Online Marketplace,2026-07-26,Not Recycled,0.0,0.51,0.71,Resold,40.0,11180.14
EC100040,Electronics,Monitor,CircularX,2022-12-27,66256.69,Steel,6.39,Delhi,69,2028-08-27,Trade-In,Good,Manufacturer Take-Back,Passed,Refurbished,6140.44,31115.08,Manufacturer Outlet,2028-09-18,Not Recycled,0.0,4.52,11.21,Resold,40.0,19674.1
EC100041,Industrial Equipment,Sensor Module,ReGen Industries,2022-11-22,128315.62,Copper,25.13,Coimbatore,63,2028-01-25,Trade-In,Good,Online Platform,Passed,Refurbished,7541.42,65769.55,Retail Store,2028-03-07,Not Recycled,0.0,21.73,37.45,Resold,40.0,47962.88
EC100042,Automotive,Alternator,CircularX,2023-08-09,74546.65,Aluminum,71.71,Hyderabad,33,2026-04-25,End of Use,Fair,Online Platform,Passed,Refurbished,7940.89,30037.1,Retail Store,2026-05-19,Recycled,51.48,15.66,249.57,Resold,85.89,16132.48
EC100043,Electronics,Monitor,ReGen Industries,2023-11-09,14418.11,Copper,1.06,Chennai,72,2029-10-08,Trade-In,Excellent,Collection Center,Failed,Not Refurbished,0.0,9489.22,Export Market,2029-12-07,Not Recycled,0.0,1.01,1.28,Resold,25.0,8335.77
EC100044,Industrial Equipment,Pump,CircularX,2023-12-22,26631.81,Aluminum,30.01,Pune,41,2027-05-05,Trade-In,Good,Collection Center,Passed,Refurbished,1618.79,14872.88,B2B Reseller,2027-07-28,Not Recycled,0.0,24.59,43.59,Resold,40.0,11123.55
EC100045,Industrial Equipment,Pump,ReGen Industries,2024-03-07,17701.68,Aluminum,23.1,Chennai,46,2027-12-17,Customer Return,Fair,Collection Center,Passed,Refurbished,1776.83,8215.75,Manufacturer Outlet,2028-01-09,Not Recycled,0.0,20.73,14.0,Resold,40.0,5022.79
EC100046,Electronics,Smartphone,CircularX,2024-05-27,119926.44,Glass,0.36,Delhi,20,2026-01-17,Trade-In,Good,Retailer,Failed,Not Refurbished,0.0,82156.51,B2B Reseller,2026-03-13,Not Recycled,0.0,0.31,0.53,Resold,25.0,72562.39
EC100047,Industrial Equipment,Control Panel,EcoTech,2024-05-13,87902.99,Mixed Materials,33.19,Chennai,35,2027-03-29,Upgrade,Poor,Collection Center,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,23.38,9.7,98.57,Recycled,45.22,0.0
EC100048,Automotive,Starter Battery,CircularX,2022-05-21,32010.98,Glass,9.36,Bengaluru,8,2023-01-16,Upgrade,Excellent,Retailer,Passed,Not Refurbished,0.0,21411.78,Export Market,2023-02-11,Not Recycled,0.0,8.47,9.16,Resold,25.0,18850.9
EC100049,Home Appliance,Microwave,GreenMotion,2023-06-09,129058.17,Glass,5.02,Mumbai,50,2027-07-18,Defect,Fair,Corporate Buyback,Passed,Refurbished,9527.41,36077.08,Online Marketplace,2027-08-08,Not Recycled,0.0,4.56,9.12,Resold,40.0,16225.02
EC100050,Electronics,Tablet,TerraMotive,2025-10-19,135491.94,Lithium,6.46,Mumbai,51,2029-12-27,Trade-In,Good,Retailer,Failed,Not Refurbished,0.0,66981.78,Export Market,2030-03-24,Not Recycled,0.0,5.98,12.83,Resold,25.0,56142.42
EC100051,Electronics,Smartwatch,CircularX,2022-03-26,81319.77,Mixed Materials,3.07,Coimbatore,47,2026-02-03,Warranty Return,Fair,Collection Center,Passed,Not Refurbished,0.0,27258.46,Online Marketplace,2026-05-03,Not Recycled,0.0,3.01,3.51,Resold,25.0,20752.88
EC100052,Industrial Equipment,Control Panel,ReGen Industries,2024-07-30,137648.08,Glass,45.52,Coimbatore,22,2026-05-21,Trade-In,Excellent,Retailer,Passed,Refurbished,20414.08,103380.66,Manufacturer Outlet,2026-07-01,Not Recycled,0.0,43.15,83.91,Resold,40.0,71954.73
EC100053,Industrial Equipment,Sensor Module,CircularX,2023-10-23,76164.29,Plastic,1.64,Pune,34,2026-08-08,Upgrade,Poor,Online Platform,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,0.96,0.54,4.18,Recycled,39.27,0.0
EC100054,Industrial Equipment,Sensor Module,NovaWorks,2025-09-30,107484.44,Lithium,38.28,Delhi,51,2029-12-08,End of Use,Good,Manufacturer Take-Back,Passed,Refurbished,8081.25,57199.58,B2B Reseller,2030-02-15,Recycled,31.35,6.42,185.95,Resold,90.95,40519.57
EC100055,Automotive,Electric Motor,TerraMotive,2024-11-24,36423.63,Aluminum,38.09,Coimbatore,27,2027-02-12,Upgrade,Excellent,Retailer,Passed,Refurbished,3858.85,26891.79,Manufacturer Outlet,2027-03-21,Not Recycled,0.0,36.81,25.73,Resold,40.0,20119.05
EC100056,Electronics,Smartphone,NovaWorks,2023-03-30,36022.6,Plastic,6.13,Kolkata,54,2027-09-05,Customer Return,Fair,Retailer,Passed,Refurbished,1878.03,9763.09,Export Market,2027-11-11,Not Recycled,0.0,5.58,10.62,Resold,40.0,5003.25
EC100057,Automotive,Infotainment Unit,ReGen Industries,2024-07-18,160660.93,Glass,7.94,Hyderabad,37,2027-08-02,End of Use,Excellent,Online Platform,Passed,Refurbished,25448.17,116455.74,Retail Store,2027-09-18,Recycled,5.54,2.27,39.77,Resold,84.89,78154.7
EC100058,Home Appliance,Microwave,GreenMotion,2025-04-22,116706.06,Plastic,35.73,Mumbai,70,2031-01-21,Warranty Return,Excellent,Online Platform,Passed,Refurbished,15551.97,88892.77,Online Marketplace,2031-03-06,Not Recycled,0.0,29.56,23.82,Resold,40.0,64004.32
EC100059,Home Appliance,Air Conditioner,ReGen Industries,2022-04-22,81504.39,Aluminum,3.99,Mumbai,73,2028-04-20,End of Use,Good,Retailer,Passed,Refurbished,3810.85,39098.02,Manufacturer Outlet,2028-05-10,Not Recycled,0.0,2.93,6.46,Resold,40.0,28766.82
EC100060,Industrial Equipment,Pump,TerraMotive,2023-01-13,109172.69,Plastic,57.77,Chennai,9,2023-10-10,End of Use,Good,Collection Center,Passed,Not Refurbished,0.0,56925.7,Retail Store,2023-12-18,Recycled,51.85,4.54,257.54,Resold,79.88,48191.88
EC100061,Home Appliance,Vacuum Cleaner,ReGen Industries,2022-06-24,145933.64,Plastic,6.75,Kolkata,34,2025-04-09,Upgrade,Fair,Corporate Buyback,Passed,Refurbished,15078.47,72710.15,Manufacturer Outlet,2025-07-04,Not Recycled,0.0,4.87,13.19,Resold,40.0,45956.99
EC100062,Industrial Equipment,Control Panel,GreenMotion,2025-04-20,98926.63,Mixed Materials,38.13,Pune,57,2029-12-25,End of Use,Fair,Corporate Buyback,Passed,Refurbished,9353.01,40252.21,B2B Reseller,2030-01-13,Not Recycled,0.0,33.37,21.66,Resold,40.0,22985.07
EC100063,Electronics,Laptop,CircularX,2022-12-22,59201.82,Steel,7.61,Mumbai,73,2028-12-20,Upgrade,Fair,Retailer,Failed,Not Refurbished,0.0,21544.38,Online Marketplace,2029-02-22,Not Recycled,0.0,6.74,5.95,Resold,25.0,16808.23
EC100064,Home Appliance,Air Conditioner,GreenMotion,2023-08-03,77599.28,Glass,33.74,Kolkata,61,2028-08-06,Upgrade,Good,Retailer,Passed,Refurbished,3827.83,53822.76,Online Marketplace,2028-11-01,Not Recycled,0.0,33.6,44.0,Resold,40.0,43786.99
EC100065,Home Appliance,Refrigerator,CircularX,2022-10-19,56786.23,Plastic,73.8,Bengaluru,12,2023-10-14,Upgrade,Fair,Retailer,Passed,Refurbished,3379.58,27128.59,Manufacturer Outlet,2024-01-01,Not Recycled,0.0,69.87,117.24,Resold,40.0,19206.11
EC100066,Automotive,Alternator,EcoTech,2024-10-21,141909.87,Plastic,32.53,Chennai,72,2030-09-20,Trade-In,Poor,Collection Center,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,29.16,2.4,46.05,Recycled,54.82,0.0
EC100067,Industrial Equipment,Control Panel,EcoTech,2023-05-28,147794.07,Lithium,59.25,Mumbai,6,2023-11-24,Upgrade,Good,Retailer,Passed,Refurbished,16448.84,80580.68,Export Market,2024-02-12,Not Recycled,0.0,58.72,104.13,Resold,40.0,52308.31
EC100068,Electronics,Laptop,CircularX,2024-11-28,90740.45,Copper,3.41,Delhi,59,2029-10-03,End of Use,Good,Retailer,Passed,Refurbished,4243.48,60449.53,Manufacturer Outlet,2029-12-11,Not Recycled,0.0,3.22,6.8,Resold,40.0,48946.81
EC100069,Automotive,Infotainment Unit,TerraMotive,2022-08-03,130197.2,Glass,58.14,Coimbatore,23,2024-06-23,End of Use,Poor,Collection Center,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,51.74,4.95,147.54,Recycled,54.5,0.0
EC100070,Automotive,Alternator,EcoTech,2025-01-31,210718.31,Mixed Materials,46.25,Coimbatore,7,2025-08-29,Trade-In,Good,Manufacturer Take-Back,Passed,Refurbished,25413.49,127385.97,Manufacturer Outlet,2025-10-26,Not Recycled,0.0,37.34,69.72,Resold,40.0,85115.02
EC100071,Electronics,Laptop,NovaWorks,2024-01-11,99411.69,Lithium,6.21,Coimbatore,82,2030-10-06,Trade-In,Good,Collection Center,Passed,Refurbished,14142.48,58451.76,Manufacturer Outlet,2030-12-22,Recycled,4.81,1.35,17.39,Resold,88.73,36356.34
EC100072,Electronics,Smartphone,EcoTech,2025-05-31,16835.49,Glass,6.08,Coimbatore,33,2028-02-15,Customer Return,Fair,Retailer,Passed,Not Refurbished,0.0,7172.25,Online Marketplace,2028-04-14,Recycled,3.86,1.64,12.2,Resold,66.74,5825.41
EC100073,Home Appliance,Microwave,ReGen Industries,2023-08-21,94638.89,Glass,37.13,Hyderabad,68,2029-03-22,Customer Return,Good,Online Platform,Passed,Refurbished,14053.78,50827.13,Manufacturer Outlet,2029-05-28,Not Recycled,0.0,31.72,40.65,Resold,40.0,29202.24
EC100074,Home Appliance,Vacuum Cleaner,NovaWorks,2022-10-07,98981.7,Lithium,78.03,Mumbai,11,2023-09-02,End of Use,Poor,Collection Center,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,47.51,29.85,141.41,Recycled,40.44,0.0
EC100075,Electronics,Tablet,ReGen Industries,2023-09-04,89134.81,Glass,7.84,Kolkata,78,2030-01-30,Warranty Return,Good,Collection Center,Passed,Refurbished,7081.78,54225.18,Manufacturer Outlet,2030-04-08,Not Recycled,0.0,6.05,5.44,Resold,40.0,40012.62
EC100076,Automotive,Starter Battery,TerraMotive,2023-05-05,43865.26,Glass,13.09,Kolkata,76,2029-08-01,Trade-In,Excellent,Retailer,Passed,Refurbished,5128.07,30108.06,Manufacturer Outlet,2029-09-17,Not Recycled,0.0,10.52,15.85,Resold,40.0,21470.77
EC100077,Home Appliance,Microwave,CircularX,2022-09-16,105120.29,Aluminum,17.99,Chennai,67,2028-03-18,Warranty Return,Good,Online Platform,Passed,Refurbished,4720.35,51743.76,Retail Store,2028-05-20,Recycled,11.9,4.59,33.27,Resold,83.07,38613.79
EC100078,Industrial Equipment,Power Supply,ReGen Industries,2024-08-19,88332.39,Aluminum,13.17,Kolkata,36,2027-08-04,End of Use,Good,Corporate Buyback,Passed,Refurbished,8869.46,54995.63,B2B Reseller,2027-09-22,Not Recycled,0.0,9.37,18.99,Resold,40.0,39059.58
EC100079,Industrial Equipment,Sensor Module,GreenMotion,2025-06-18,23899.04,Aluminum,52.54,Bengaluru,11,2026-05-14,Defect,Poor,Online Platform,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,30.18,17.51,118.26,Recycled,38.72,0.0
EC100080,Industrial Equipment,Motor Controller,EcoTech,2025-07-21,41368.57,Mixed Materials,13.35,Mumbai,15,2026-10-14,Trade-In,Good,Retailer,Passed,Refurbished,4060.03,25009.94,B2B Reseller,2026-10-26,Not Recycled,0.0,10.82,21.64,Resold,40.0,17640.42
EC100081,Automotive,Alternator,CircularX,2023-05-16,25410.01,Steel,20.43,Pune,70,2029-02-13,Trade-In,Fair,Corporate Buyback,Passed,Refurbished,3746.07,9602.93,Manufacturer Outlet,2029-03-14,Recycled,15.58,3.55,70.82,Resold,88.13,3824.06
EC100082,Home Appliance,Refrigerator,TerraMotive,2025-07-30,47733.52,Copper,26.42,Hyderabad,35,2028-06-14,Trade-In,Good,Online Platform,Passed,Refurbished,2024.31,25323.58,Online Marketplace,2028-08-19,Not Recycled,0.0,20.17,17.96,Resold,40.0,19480.59
EC100083,Industrial Equipment,Control Panel,EcoTech,2023-09-05,161389.64,Lithium,36.02,Pune,84,2030-07-30,Trade-In,Fair,Online Platform,Passed,Refurbished,21739.27,60458.26,Manufacturer Outlet,2030-09-24,Not Recycled,0.0,26.15,49.72,Resold,40.0,25807.82
EC100084,Automotive,Electric Motor,TerraMotive,2025-12-03,168578.77,Plastic,33.51,Coimbatore,40,2029-03-17,Upgrade,Excellent,Collection Center,Passed,Refurbished,12483.78,121817.79,B2B Reseller,2029-03-30,Not Recycled,0.0,29.95,34.65,Resold,40.0,95847.71
EC100085,Home Appliance,Vacuum Cleaner,TerraMotive,2023-12-23,148179.56,Mixed Materials,55.7,Chennai,31,2026-07-10,Customer Return,Good,Retailer,Passed,Refurbished,7737.03,72343.45,B2B Reseller,2026-08-03,Not Recycled,0.0,43.1,43.44,Resold,40.0,52752.06
EC100086,Industrial Equipment,Motor Controller,ReGen Industries,2024-01-18,58466.18,Lithium,11.23,Delhi,19,2025-08-10,Upgrade,Fair,Online Platform,Passed,Refurbished,2901.56,22283.09,Export Market,2025-09-11,Recycled,8.02,3.19,27.04,Resold,85.71,14704.24
EC100087,Automotive,Starter Battery,GreenMotion,2024-09-13,213833.03,Plastic,65.18,Kolkata,40,2027-12-27,Customer Return,Fair,Online Platform,Passed,Refurbished,15171.1,62593.61,Export Market,2028-01-12,Recycled,53.28,11.65,257.39,Resold,90.87,30315.87
EC100088,Automotive,EV Battery,TerraMotive,2024-03-19,74555.78,Mixed Materials,58.17,Delhi,4,2024-07-17,End of Use,Good,Corporate Buyback,Passed,Refurbished,5878.09,41479.79,Online Marketplace,2024-08-26,Not Recycled,0.0,49.58,39.11,Resold,40.0,29637.24
EC100089,Home Appliance,Microwave,NovaWorks,2025-06-22,97433.71,Aluminum,28.11,Kolkata,74,2031-07-21,End of Use,Good,Corporate Buyback,Passed,Not Refurbished,0.0,47605.2,Online Marketplace,2031-09-25,Not Recycled,0.0,23.73,16.24,Resold,25.0,39810.5
EC100090,Home Appliance,Washing Machine,TerraMotive,2023-09-16,60441.58,Aluminum,14.69,Kolkata,66,2029-02-16,Upgrade,Excellent,Manufacturer Take-Back,Passed,Refurbished,9597.83,43183.74,Export Market,2029-04-13,Not Recycled,0.0,13.85,22.36,Resold,40.0,28750.58
EC100091,Home Appliance,Microwave,CircularX,2022-07-22,117630.76,Glass,54.82,Pune,65,2027-11-23,Warranty Return,Good,Collection Center,Passed,Refurbished,10518.65,63193.25,B2B Reseller,2028-01-16,Recycled,50.53,4.07,259.71,Resold,96.09,43264.14
EC100092,Electronics,Tablet,GreenMotion,2025-08-13,134785.74,Lithium,7.52,Chennai,48,2029-07-23,Upgrade,Good,Collection Center,Passed,Refurbished,6466.96,85626.71,Online Marketplace,2029-09-26,Recycled,5.86,1.58,23.98,Resold,88.96,68376.89
EC100093,Automotive,Starter Battery,GreenMotion,2025-03-02,58728.72,Steel,13.95,Chennai,29,2027-07-20,Upgrade,Good,Corporate Buyback,Passed,Refurbished,8089.82,36194.47,B2B Reseller,2027-08-25,Not Recycled,0.0,11.95,25.33,Resold,40.0,23406.35
